Año;Distrito;Intervenciones_Policiales_con_Detenidos
2022;Ciudad de Madrid;8.669
2022;01. Centro;1.995
2022;02. Arganzuela;266
2022;03. Retiro;129
2022;04. Salamanca;631
2022;05. Chamartín;263
2022;06. Tetuán;469
2022;07. Chamberí;208
2022;08. Fuencarral-El Pardo;282
2022;09. Moncloa-Aravaca;237
2022;10. Latina;464
2022;11. Carabanchel;529
2022;12. Usera;341
2022;13. Puente de Vallecas;991
2022;14. Moratalaz;75
2022;15. Ciudad Lineal;514
2022;16. Hortaleza;248
2022;17. Villaverde;303
2022;18. Villa de Vallecas;221
2022;19. Vicálvaro;83
2022;20. San Blas-Canillejas;327
2022;21. Barajas;93
2022;Otras zonas;0
