num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2023S040280,04/01/2024,14:09:00,AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11,3,16,HORTALEZA,Colisión fronto-lateral,Lluvia débil,Motocicleta > 125cc,Conductor,De 55 a 59 años,Hombre,2,Ingreso inferior o igual a 24 horas,444913.056,4481427.179,False,False
2023S040280,04/01/2024,14:09:00,AVDA. NICETO ALCALA ZAMORA / AUTOV. M-11,3,16,HORTALEZA,Colisión fronto-lateral,Lluvia débil,Turismo,Conductor,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,444913.056,4481427.179,False,False
2023S040309,15/02/2024,14:05:00,CALL. TESORO / CALL. MINAS,18,1,CENTRO,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440122.814,4475169.548,False,False
2023S040309,15/02/2024,14:05:00,CALL. TESORO / CALL. MINAS,18,1,CENTRO,Colisión fronto-lateral,Lluvia débil,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,440122.814,4475169.548,False,False
2023S040310,18/02/2024,10:40:00,GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO,3,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,,,440136.981,4475721.316,False,False
2023S040310,18/02/2024,10:40:00,GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO,3,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,,,440136.981,4475721.316,False,False
2023S040312,25/02/2024,17:20:00,"CALL. PINOS ALTA, 93",93,6,TETUÁN,Colisión lateral,Despejado,Camión rígido,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,440708.685,4480101.999,False,False
2023S040312,25/02/2024,17:20:00,"CALL. PINOS ALTA, 93",93,6,TETUÁN,Colisión lateral,Despejado,Maquinaria de obras,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,440708.685,4480101.999,False,False
2023S040316,07/03/2024,14:25:00,CTRA. BARRIO DE LA FORTUNA / CALL. PINAR DE SAN JOSE,14,10,LATINA,Alcance,Lluvia débil,Furgoneta,Conductor,De 60 a 64 años,Hombre,,,433983.046,4468472.755,False,False
2023S040316,07/03/2024,14:25:00,CTRA. BARRIO DE LA FORTUNA / CALL. PINAR DE SAN JOSE,14,10,LATINA,Alcance,Lluvia débil,Turismo,Conductor,De 25 a 29 años,Hombre,,,433983.046,4468472.755,False,False
2023S040319,27/03/2024,8:10:00,"CTRA. CIUDAD UNIVERSITARIA, 0",0,9,MONCLOA-ARAVACA,Choque contra obstáculo fijo,,Turismo,Conductor,De 21 a 24 años,Hombre,,,437063.947,4478229.114,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 18 a 20 años,Mujer,1,Atención en urgencias sin posterior ingreso,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 25 a 29 años,Mujer,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 30 a 34 años,Mujer,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000001,01/01/2024,1:20:00,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,443926.583,4473998.426,False,False
2024S000002,01/01/2024,2:45:00,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,,,443248.639,4471571.066,True,False
2024S000002,01/01/2024,2:45:00,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,,,,,443248.639,4471571.066,False,False
2024S000002,01/01/2024,2:45:00,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,,,,,443248.639,4471571.066,False,False
2024S000002,01/01/2024,2:45:00,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,,,,,443248.639,4471571.066,False,False
2024S000002,01/01/2024,2:45:00,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,De 40 a 44 años,Mujer,14,Sin asistencia sanitaria,443248.639,4471571.066,False,False
2024S000004,01/01/2024,2:00:00,"AVDA. DOCTOR GARCIA TAPIA, 64",64,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 18 a 20 años,Mujer,,,444512.986,4473729.076,False,False
2024S000004,01/01/2024,2:00:00,"AVDA. DOCTOR GARCIA TAPIA, 64",64,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,,,444512.986,4473729.076,False,False
