
fecha recopilacion;Distrito;Total Población;% de 0 a 15 años;% de 16 a 64 años;% de 65 años y más;% de 80 años y más;Edad promedio;Crecimiento migratorio / Tasa de inmigración
1 de enero de 2022;Ciudad de Madrid;3.286.662;"13,55";"66,17";"20,28";"7,1";"44,44";"48,46"
1 de enero de 2022;01. Centro;139.682;"7,36";"76,95";"15,69";"4,93";"43,99";"97,19"
1 de enero de 2022;02. Arganzuela;152.638;"11,79";"67,76";"20,45";"6,31";"45,28";"43,35"
1 de enero de 2022;03. Retiro;117.672;"12,02";"61,41";"26,57";"8,78";"47,51";"42,69"
1 de enero de 2022;04. Salamanca;145.457;"10,9";"65,11";"23,99";"8,58";"46,27";"74,04"
1 de enero de 2022;05. Chamartín;144.371;"13,43";"62,82";"23,75";"8,38";"45,75";"47,08"
1 de enero de 2022;06. Tetuán;157.433;"11,38";"69,34";"19,29";"6,82";"44,28";"58,91"
1 de enero de 2022;07. Chamberí;137.287;"10,59";"64,99";"24,42";"8,52";"46,44";"64,55"
1 de enero de 2022;08. Fuencarral-El Pardo;246.281;"17,52";"60,99";"21,49";"6,53";"43,58";"34,33"
1 de enero de 2022;09. Moncloa-Aravaca;120.360;"13,95";"63,88";"22,17";"7,51";"44,85";"49,95"
1 de enero de 2022;10. Latina;237.048;"11,87";"63,81";"24,31";"9,45";"46,78";"42,36"
1 de enero de 2022;11. Carabanchel;255.514;"13,88";"67,39";"18,73";"6,93";"43,78";"49,13"
1 de enero de 2022;12. Usera;140.808;"14,62";"68,69";"16,69";"6,23";"42,66";"47,97"
1 de enero de 2022;13. Puente de Vallecas;235.638;"13,43";"68,8";"17,76";"6,49";"43,54";"45,81"
1 de enero de 2022;14. Moratalaz;92.390;"11,12";"62,51";"26,38";"10,71";"48,25";"30,66"
1 de enero de 2022;15. Ciudad Lineal;213.905;12;"64,99";"23,01";"8,63";"46,27";"44,9"
1 de enero de 2022;16. Hortaleza;195.017;"17,49";"63,8";"18,71";"5,89";"42,73";"40,7"
1 de enero de 2022;17. Villaverde;153.829;"15,74";"67,57";"16,68";"6,25";"42,32";"46,14"
1 de enero de 2022;18. Villa de Vallecas;114.817;"18,68";"68,26";"13,06";"3,54";"39,73";"38,38"
1 de enero de 2022;19. Vicálvaro;79.328;"17,01";"69,37";"13,62";"4,89";"41,08";"50,8"
1 de enero de 2022;20. San Blas-Canillejas;158.783;"13,97";"68,38";"17,65";"6,52";"43,77";"38,9"
1 de enero de 2022;21. Barajas;48.404;"16,73";"64,5";"18,77";"5,04";43;"33,98"
